Archetype Name,Class Skills,Weapon & Armor,Alchemy,Bomb 1,Bomb 3,Bomb 5,Bomb 7,Bomb 9,Bomb 11,Bomb 13,Bomb 15,Bomb 17,Bomb 19,Brew Potion,Mutagen,Throw Anything,Discovery 2,Discovery 4,Discovery 6,Discovery 8,Discovery 10,Discovery 12,Discovery 14,Discovery 16,Discovery 18,Poison Resistance +2,Poison Resistance +4,Poison Resistance +6,Poison Use,Swift Alchemy,Swift Poisoning,Poison Immunity,Persistent Mutagen,Instant Alchemy,Grand Discovery
Energist,,,C,C,C,C,C,C,C,C,C,C,C,,,C,X,,,,,,,,,X,X,X,,,X,X,,,
Energy Scientist,C,,C,C,C,C,C,C,C,C,C,C,C,X,,,,,,,,,,,,X,X,X,X,,X,X,,,
Fermenter,,,,,,,,,,,,,,,,,,,,,X,,,,,X,X,X,X,,X,,,,
Fey World Innovator,,,,C,C,C,C,C,C,C,C,C,C,X,,,,,,,,,,,,X,X,X,X,,X,X,,,
Fire Bomber (Goblin),,C,,C,C,C,C,C,C,C,C,C,C,,,C,,X,,,,,,,,,,X,,,,X,X,,
Gloom Chymist,,,,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,X,X,X,X,,X,,,,
Grenadier (Monster Codex),,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,
Grenadier (PFS Field Guide),,,,,,,,,,,,,,X,,,,,,,,,,,,X,X,X,X,,X,X,,,
Gun Chemist,,X,,X,X,X,X,X,X,X,X,X,X,X,,X,,,,,,,,,,X,X,X,,,X,,,,
Herbalist (Vine Leshy),,,C,X,X,X,X,X,X,X,X,X,X,,,C,,,,,,,,,,X,X,X,X,,,X,,,
Homunculist,,,,,,,,,,,,,,,X,,,,,,,,,,,X,X,X,X,,X,X,,,
Horticulturist (Heroes of the Wild),,,,C,C,C,C,C,C,C,C,C,C,,X,,X,X,,,,,,,,X,X,X,X,,,,X,,
Horticulturist (Ultimate Wilderness),,,,C,C,C,C,C,C,C,C,C,C,,X,,X,X,,,,,,,,X,X,X,X,,,X,X,,
Ice Chemist,,,,C,C,C,C,C,C,C,C,C,C,,,,X,,,,,,,,,X,X,X,,,,X,,,
Inspired Chemist,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Internal Alchemist,,,,,,,,,,,,,,,,X,(X),(X),(X),(X),(X),(X),(X),(X),(X),,,,,X,X,,,,
Interrogator,C,,,X,X,X,X,X,X,X,X,X,X,,X,,,,,,,,,,,,,,,,,,X,,
Mad Scientist,,,C,,,,,,,,,,,,C,,X,X,,,,,,,,,,,,,,,,,
Metamorph,C,,X,X,X,X,X,X,X,X,X,X,X,,X,X,,,,,,,,,,,,,,X,X,,,X,
Mindchemist,,,,,,,,,,,,,,,X,,(X),(X),(X),(X),(X),(X),(X),(X),(X),,,,X,,,,,,
Mixologist,,,C,,,,,,,,,,,C,X,,X,,,,,,,,,C,C,C,,,,,X,,
Mnemostiller,,,C,X,X,X,X,X,X,X,X,X,X,,X,X,,,,,,,,,,X,X,X,X,,,,,,
Oenopion Researcher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,
Oozemaster,,,,C,C,C,C,C,C,C,C,C,C,X,,,,,,,,,,,,X,X,X,,,,X,,,
Perfumer,,,C,C,C,C,C,C,C,C,C,C,C,X,X,,,,,,,,,,,,,,,,,,X,,
Plague Bringer (Ratfolk),,,,,,,,,,,,,,,X,,,,,,,,,,,X,X,X,,,,X,,,
Preservationist,,,,,,,,,,,,,,,,,,,,,,,,,X,,X,X,X,,,X,X,,
Promethean Alchemist,,,,X,X,X,X,X,X,X,X,X,X,X,X,X,,,,,,,,,,,,,,,,,,,
Psychonaut,,,,C,C,C,C,C,C,C,X,X,C,,,,,,,,,,,,,,X,X,,,,X,,,
Ragechemist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,X,X,,,
Reanimator,,,,C,C,C,X,C,C,X,X,C,C,,,,,,,,,,,,,,,,,,,,,,
Royal Alchemist,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,,X,,,,
Saboteur (Gnome),C,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,
Sacrament Alchemist,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,X,,,,,
Tinkerer,,,,,,,,,,,,,,,X,,,,,,,,,,,X,X,X,X,,X,X,X,,
Toxicant,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,X,,
Trap Breaker,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,X,X,,X,X,,,
Vaultbreaker,,,,C,C,C,C,C,C,C,C,C,C,X,,X,C,C,C,C,C,C,C,C,C,,,,X,,,,,,
Visionary Researcher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,
Vivisectionist,,,,X,X,X,X,X,X,X,X,X,X,,,,(X),(X),(X),(X),(X),(X),(X),(X),(X),,,,,,,,,,
Wasteland Blighter,,,,,,,,,,,,,,,,,,,,X,,,,,,X,,X,,,X,,,,
Winged Marauder (Goblin),,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,X,,
